"","SampleID","Site","Zone","MPA"
"barcode51","DBP010107","Taka Malang E","Core","Inside"
"barcode28","DBP010108","Taka Malang E","Core","Inside"
"barcode76","DBP010109","Taka Malang E","Core","Inside"
"barcode80","DBP010113","Menjangan Kecil","Protection","Inside"
"barcode21","DBP010114","Menjangan Kecil","Protection","Inside"
"barcode57","DBP010115","Menjangan Kecil","Protection","Inside"
"barcode70","DBP010116","Genting 1","Open access","Outside"
"barcode82","DBP010117","Genting 1","Open access","Outside"
"barcode94","DBP010118","Genting 1","Open access","Outside"
"barcode24","DBP010125","Cilik/Kecil","Tourism","Inside"
"barcode36","DBP010126","Cilik/Kecil","Tourism","Inside"
"barcode48","DBP010127","Cilik/Kecil","Tourism","Inside"
