"Species";"AnaCat";"DemersPelag";"BodyShapeI";"category_troph";"Nocturnal_fish";"IUCN_Code";"Site";"Data"
"Abudefduf septemfasciatus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Abudefduf vaigiensis";"oceanodromous";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Abudefduf vaigiensis";"oceanodromous";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Abudefduf vaigiensis";"oceanodromous";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Acanthochromis polyacanthus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Acanthochromis polyacanthus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Acanthochromis polyacanthus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Acanthochromis polyacanthus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Acanthurus nigricauda";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Acanthurus xanthopterus";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Amblygaster sirm";"Unknown";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon aureus";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amblyglyphidodon curacao";"non-migratory";"reef-associated";"short and / or deep";"Omnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon leucogaster";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Taka Malang E";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Taka Malang E";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Menjangan Kecil";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Genting 1";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Taka Malang E";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Genting 1";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Cilik/Kecil";"eDNA"
"Amblyglyphidodon ternatensis";"non-migratory";"reef-associated";"short and / or deep";"Unknown";"Unknown";"VU";"Cilik/Kecil";"eDNA"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Amphiprion ocellaris";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Ostorhinchus semilineatus";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Yes";"DD";"Taka Malang E";"eDNA"
"Ostorhinchus semilineatus";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Yes";"DD";"Taka Malang E";"eDNA"
"Ostorhinchus semilineatus";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Yes";"DD";"Menjangan Kecil";"eDNA"
"Asterropteryx semipunctata";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Asterropteryx semipunctata";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Asterropteryx semipunctata";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Asterropteryx semipunctata";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Asterropteryx semipunctata";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Asterropteryx semipunctata";"Unknown";"reef-associated";"elongated";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Atherinomorus lacunosus";"Unknown";"reef-associated";"elongated";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Atherinomorus lacunosus";"Unknown";"reef-associated";"elongated";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Atherinomorus lacunosus";"Unknown";"reef-associated";"elongated";"Carnivore";"Unknown";"LC";"Genting 1";"eDNA"
"Atherinomorus lacunosus";"Unknown";"reef-associated";"elongated";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Atherinomorus lacunosus";"Unknown";"reef-associated";"elongated";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Atherinomorus lacunosus";"Unknown";"reef-associated";"elongated";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Atule mate";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Atule mate";"Unknown";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Caesio caerulaurea";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Caesio caerulaurea";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Caesio caerulaurea";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Caesio caerulaurea";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Caesio caerulaurea";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Caesio cuning";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Caesio teres";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Caesio teres";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Caesio teres";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Caesio teres";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Caesio teres";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Cephalopholis boenak";"non-migratory";"reef-associated";"fusiform / normal";"Carnivore";"Unknown";"LC";"Taka Malang E";"eDNA"
"Cephalopholis cyanostigma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Cephalopholis cyanostigma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Cephalopholis cyanostigma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Cephalopholis cyanostigma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Cephalopholis cyanostigma";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Cephalopholis microprion";"non-migratory";"reef-associated";"fusiform / normal";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Chaetodon auriga";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Chaetodon auriga";"non-migratory";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Genting 1";"eDNA"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Chaetodon octofasciatus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Taka Malang E";"eDNA"
"Chaetodon ornatissimus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Menjangan Kecil";"eDNA"
"Chaetodon ornatissimus";"Unknown";"reef-associated";"short and / or deep";"Unknown";"Unknown";"LC";"Cilik/Kecil";"eDNA"
"Chaetodon trifascialis";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"NT";"Menjangan Kecil";"eDNA"
"Chaetodon trifascialis";"Unknown";"reef-associated";"short and / or deep";"Carnivore";"Unknown";"NT";"Cilik/Kecil";"eDNA"
